Distance to closest modifier, Stress
2.31599,1.19759e+08
2.32565,1.30894e+08
2.33032,1.42684e+08
3.94918,2.88873e+07
4.4391,8.61632e+07
3.618,5.66062e+07
2.32244,1.64806e+08
3.55616,1.04821e+08
2.82844,4.65054e+07
2.32228,1.08825e+08
3.3555,1.45959e+08
2.91621,1.33764e+08
2.3492,1.31515e+08
2.371,1.14463e+08
2.87062,7.87228e+07
2.36275,1.62902e+08
2.94835,1.09673e+08
3.94325,1.92388e+08
2.86847,9.6219e+07
3.47667,1.60177e+08
2.32714,9.56704e+07
2.34137,9.44012e+07
2.36621,1.15919e+08
2.71266,1.4103e+08
3.10738,1.22648e+08
2.31101,1.39602e+08
2.32072,1.08263e+08
3.48872,1.41461e+08
3.55907,1.39152e+08
3.42115,9.82253e+07
2.29644,1.39786e+08
3.55836,5.74979e+07
2.30039,1.62404e+08
3.15955,1.19217e+08
3.38443,1.2961e+08
2.76268,1.03791e+08
2.83523,4.6347e+07
4.09113,1.31456e+08
4.24306,1.33997e+08
3.05779,1.09863e+08
2.27182,8.41775e+07
2.33585,1.34961e+08
2.35921,1.0904e+08
3.92845,9.27865e+07
2.69286,6.39874e+07
2.99232,5.78036e+07
3.72664,1.2695e+08
3.04117,1.30463e+08
2.87976,5.93538e+07
2.91424,6.93783e+07
2.374,7.46832e+07
2.60777,4.56019e+07
2.36802,9.21994e+07
2.83147,1.02849e+08
2.85096,7.9334e+07
2.34659,8.92471e+07
3.87676,2.47002e+07
3.15486,7.49937e+07
2.86457,1.00965e+08
3.79332,4.81284e+07
4.2914,6.56252e+07
2.34982,1.54178e+08
3.39204,1.14268e+08
3.91119,8.92994e+07
4.66537,8.49827e+07
2.97909,8.42528e+07
4.21093,8.70493e+07
2.2737,1.28686e+08
2.43018,8.36113e+07
3.86419,1.00587e+08
2.36185,1.26169e+08
2.97898,1.6092e+08
2.63038,7.62419e+07
3.88759,1.18364e+08
2.49389,1.58741e+08
3.15053,1.58691e+08
2.29219,1.32934e+08
2.33396,7.88313e+07
2.37495,1.34049e+08
2.37321,4.62951e+07
3.24038,9.95482e+07
3.88453,1.04283e+08
2.32056,1.15004e+08
3.14321,1.18584e+08
3.05726,1.35642e+08
3.22818,8.79541e+07
4.38328,1.19767e+08
2.44886,1.05438e+08
3.61343,7.50913e+07
2.31104,1.1875e+08
2.34173,1.16119e+08
2.35894,1.30441e+08
3.42254,1.1265e+08
4.09435,1.30113e+08
3.61631,1.50018e+08
3.70646,1.1067e+08
2.34195,6.61777e+07
2.93515,5.97551e+07
3.35499,1.15157e+08
3.87793,7.27452e+07
2.3254,8.56275e+07
2.34808,1.04655e+08
3.15826,1.17754e+08
2.91407,1.72336e+08
2.37939,7.9352e+07
3.93753,1.20536e+08
2.51817,1.59961e+08
2.3032,5.89554e+07
2.3824,1.23265e+08
3.44237,9.97663e+07
2.34386,1.06104e+08
2.31927,1.73885e+08
2.89887,1.43059e+08
2.30168,1.20202e+08
2.32662,1.41092e+08
2.56368,1.61978e+08
3.33512,7.99119e+07
3.04495,1.06237e+08
3.16054,1.09383e+08
2.34271,6.45184e+07
3.01828,1.24621e+08
3.09273,1.33447e+08
5.23928,1.39716e+08
2.37555,1.42217e+08
2.32774,1.26938e+08
2.34273,1.28896e+08
3.38886,1.21493e+08
3.38585,1.69661e+08
2.35176,9.91496e+07
3.68027,1.04167e+08
2.71641,1.39696e+08
3.21159,1.28857e+08
2.30722,1.11763e+08
4.02743,1.00091e+08
2.31834,1.2108e+08
3.2572,9.9179e+07
2.44668,2.0051e+08
2.38062,1.4587e+08
2.31795,1.26876e+08
2.35371,1.23184e+08
3.85633,1.11985e+08
2.92319,1.43217e+08
3.31478,1.15056e+08
2.31765,7.042e+07
2.32669,8.79581e+07
3.39255,5.62148e+07
3.10979,5.5737e+06
3.81329,6.05989e+07
2.9957,5.57411e+07
2.37246,1.10232e+08
3.19537,7.1217e+07
2.3315,9.09877e+07
3.52185,1.08447e+08
3.74486,8.93489e+07
2.32502,1.83585e+08
2.55777,9.91613e+07
4.69209,6.2461e+07
2.75891,1.46508e+08
2.89301,1.65415e+08
2.52178,1.30736e+08
3.11224,9.79397e+07
3.52325,9.8026e+07
2.37646,1.58732e+08
2.32788,7.23063e+07
2.67605,1.31601e+08
2.65184,8.43678e+07
2.7757,1.19316e+08
3.21419,1.77657e+08
3.38519,9.19249e+07
2.35572,8.02083e+07
3.3081,1.21473e+08
2.34178,8.53356e+07
3.39137,6.79512e+07
2.5995,6.85143e+07
2.39012,1.18142e+08
2.87265,8.76405e+07
3.36515,8.56149e+07
3.31777,1.76664e+08
2.35975,6.27666e+07
3.79836,9.9839e+07
2.96073,1.55079e+08
3.06919,1.22797e+08
2.77736,2.43417e+08
2.89287,1.0719e+08
4.68427,1.24829e+08
3.30826,1.52891e+08
2.40414,6.06577e+07
2.31147,8.97523e+07
2.35069,1.32949e+08
2.31216,1.37407e+08
2.73464,1.51563e+08
2.3231,1.52131e+08
2.9446,1.27325e+08
2.32954,9.1895e+07
3.39139,5.91385e+07
2.61659,1.09583e+08
3.27798,1.04464e+08
3.2827,1.37245e+08
2.57358,1.56542e+08
3.31478,1.74986e+08
3.41368,1.47238e+08
3.21144,1.24116e+08
3.14821,1.18986e+08
4.35971,1.23008e+08
2.92854,1.66696e+08
2.36507,7.51601e+07
2.31352,1.12336e+08
2.58036,8.92484e+07
2.98867,1.31903e+08
2.34924,1.28129e+08
2.64472,1.23761e+08
2.96286,1.17139e+08
3.0363,1.41738e+08
3.21876,9.31479e+07
2.4501,1.00965e+08
3.64227,7.60626e+07
2.30557,1.20237e+08
2.34478,1.19844e+08
6.29729,1.04756e+08
2.35183,1.39715e+08
2.73264,1.28214e+08
2.31462,1.63668e+08
2.6958,1.40215e+08
3.19534,1.16526e+08
2.34069,1.25623e+08
3.89501,7.85969e+07
3.23819,1.10353e+08
2.38998,1.40129e+08
2.33685,1.02356e+08
3.08934,1.26365e+08
3.56226,1.31703e+08
2.39635,1.17232e+08
3.16494,9.36777e+07
2.83771,1.33178e+08
2.34752,6.1091e+07
2.34048,1.2667e+08
2.30044,1.19865e+08
3.34425,1.11886e+08
2.99835,1.56776e+08
3.00885,1.35812e+08
6.51557,1.14904e+08
4.08752,1.71697e+08
2.96472,5.48794e+07
5.48302,8.58071e+07
3.3068,1.31984e+08
3.20312,1.01008e+08
3.8175,1.10007e+08
3.67433,1.21542e+08
3.2131,1.32777e+08
3.27386,5.41733e+07
3.46705,5.74296e+07
3.22816,5.22282e+07
2.45156,1.97514e+08
3.39284,1.72495e+08
2.33972,9.76517e+07
3.67232,9.92734e+07
2.69032,1.32926e+08
3.92806,9.59162e+07
2.3055,1.11369e+08
3.2861,1.28786e+08
3.1131,1.11735e+08
2.58072,1.21913e+08
2.32992,1.06442e+08
3.08606,9.76381e+07
3.67159,9.00835e+07
3.06071,3.07559e+07
2.33783,5.66873e+07
2.38328,3.86219e+07
2.69225,5.53519e+07
3.20141,8.00223e+07
2.78785,1.14061e+08
3.38327,1.59322e+08
2.97473,1.14877e+08
5.34643,1.21652e+08
4.4786,1.2498e+08
3.60669,1.11515e+08
2.33048,1.33174e+08
3.24633,9.929e+07
3.76623,1.01431e+08
3.16262,1.06159e+08
4.28233,7.00028e+07
3.83241,2.00946e+08
3.33422,1.02973e+08
2.32599,1.31918e+08
2.35677,5.76348e+07
2.3479,1.3151e+08
3.24761,1.37554e+08
2.33168,9.81104e+07
2.69891,5.81402e+07
2.39233,1.4471e+08
2.29082,1.81693e+08
2.82859,1.39928e+08
3.62174,1.18783e+08
4.52529,1.12978e+08
3.39088,8.36194e+07
3.97092,1.6225e+08
4.31542,1.25013e+08
4.13833,1.15636e+08
4.10838,1.11959e+08
2.31368,1.15032e+08
3.83085,1.35466e+08
5.8104,1.1463e+08
3.24101,1.87483e+08
3.31697,9.19311e+07
4.04347,1.58924e+08
3.38147,1.38896e+08
3.27694,1.41972e+08
2.38064,1.33618e+08
2.89689,1.62312e+08
3.40039,1.39446e+08
3.38649,1.30006e+08
2.35073,1.42264e+08
2.31342,4.13497e+07
2.32276,1.11807e+08
2.3264,1.05629e+08
3.3225,7.93884e+07
2.35,1.1395e+08
3.65738,1.65135e+08
3.28643,1.47085e+08
2.33443,9.18234e+07
2.9804,1.32788e+08
2.38256,1.16176e+08
3.65837,1.86161e+08
3.44176,1.15038e+08
2.87377,1.22676e+08
2.35618,1.12035e+08
2.33693,1.50879e+08
3.09943,1.24718e+08
2.36734,1.43268e+08
2.34742,1.47903e+08
2.3775,1.43461e+08
2.3009,1.09559e+08
2.96259,1.40282e+08
3.13229,8.30797e+07
3.58815,9.2458e+06
2.36907,6.48596e+07
2.99851,4.94297e+07
2.38028,8.60109e+07
3.39581,1.50678e+08
2.36689,1.52188e+08
2.33946,1.21092e+08
3.07872,1.59048e+08
3.47157,1.18455e+08
3.19461,1.47961e+08
2.49742,7.89256e+07
5.52444,1.07363e+08
3.2556,6.86605e+07
3.36671,1.37424e+08
3.97439,1.27885e+08
3.40953,1.69417e+08
2.27088,1.65682e+08
3.64935,1.29863e+08
2.76201,1.45247e+08
3.36869,1.54946e+08
4.38536,1.70207e+08
3.94589,1.06827e+08
2.69246,1.73767e+08
3.08273,1.19585e+08
3.47676,1.17471e+08
5.80356,1.14685e+08
2.38563,5.49663e+07
4.02132,3.72817e+07
2.33995,8.10315e+07
2.36471,7.60944e+07
3.39036,1.26191e+08
3.54474,8.13166e+07
2.71083,9.6998e+07
3.18493,6.02902e+07
3.23381,782533
2.72992,3.74725e+07
3.35828,8.96467e+07
3.34366,1.41738e+08
2.33425,1.45506e+08
3.65977,4.36241e+07
4.85493,3.61453e+07
2.64225,9.88871e+07
5.40623,9.99753e+07
3.49363,4.64498e+07
4.0823,6.2402e+07
4.32414,1.09217e+08
3.96966,1.02075e+08
2.30086,1.00218e+08
2.52952,1.52328e+08
3.6191,1.6136e+08
2.77502,1.37031e+08
3.8452,6.09924e+07
2.50885,1.58903e+08
2.33228,1.67738e+08
3.17219,1.30497e+08
4.15349,8.93783e+07
2.38143,1.50774e+08
3.20995,7.98938e+07
2.64953,1.00713e+08
2.42591,2.06072e+08
2.3079,9.76242e+07
2.34357,1.02349e+08
3.70174,1.1863e+08
2.31521,1.0538e+08
3.36078,1.22982e+08
3.37928,1.33602e+08
2.84229,1.58493e+08
2.73989,1.31031e+08
4.82841,1.57975e+08
2.56033,1.56515e+08
3.67931,1.25138e+08
4.10101,1.64232e+07
2.3462,1.32401e+08
3.41632,1.1129e+08
2.33053,9.97123e+07
2.72338,6.53483e+07
2.28704,1.74542e+08
3.23134,1.5915e+08
3.61036,7.22122e+07
2.82508,1.16699e+08
2.39462,7.9426e+07
2.37911,1.56887e+08
3.15847,9.81107e+07
2.57892,1.02552e+08
2.77037,1.35559e+08
3.12171,1.14718e+08
2.96124,1.58658e+08
3.4295,1.12738e+08
3.6145,1.14026e+08
3.86767,2.23467e+08
3.90488,1.43578e+08
4.0249,9.78222e+07
3.96649,1.19639e+08
2.33907,1.31208e+08
3.42618,1.51692e+08
3.39528,1.06617e+08
3.23247,1.2952e+08
2.33577,1.6811e+08
2.36885,1.22759e+08
3.06003,1.06999e+08
5.91065,8.64278e+07
2.35041,1.03908e+08
2.99653,1.14311e+08
3.64695,1.82892e+08
2.81731,1.19393e+08
2.36884,1.08048e+08
2.3898,1.57234e+08
2.32778,1.53533e+08
2.69483,1.39852e+08
2.34674,1.15386e+08
2.32125,1.05413e+08
3.44985,1.34666e+08
2.98095,1.49796e+08
3.12039,1.4061e+08
3.11761,1.116e+08
2.37377,1.46924e+08
2.34476,1.43762e+08
2.36629,1.20205e+08
2.35087,1.29661e+08
2.7697,1.47598e+08
2.98113,1.29372e+07
3.1187,5.92025e+07
3.93088,1.00458e+08
2.80325,1.26297e+08
3.35293,1.11409e+08
3.03727,6.62502e+07
2.32572,1.21359e+08
4.13404,1.31704e+08
2.35581,4.41724e+07
3.20579,1.23729e+08
2.96865,1.2311e+08
2.3675,1.33238e+08
2.3302,1.08616e+08
3.73303,1.33371e+08
3.45356,1.60096e+08
2.35163,1.67407e+08
3.0777,1.05073e+08
2.36291,7.53228e+07
3.73998,1.37755e+08
2.37021,7.11647e+07
3.91026,1.21597e+08
4.99173,9.20737e+07
5.04785,1.02989e+08
3.24897,1.45792e+08
2.347,1.45636e+08
3.03696,1.23897e+08
3.3576,3.52727e+07
2.30871,4.01892e+07
2.37364,4.77035e+07
2.98857,1.06435e+08
3.68945,6.65981e+07
4.43246,1.18517e+07
2.52348,1.24429e+08
2.91799,1.23284e+08
2.79891,1.15353e+08
3.45389,1.27143e+08
2.35036,9.38027e+07
3.68787,1.05381e+08
4.20239,9.97339e+07
5.39103,1.04742e+08
3.23015,1.03285e+08
3.16997,6.24992e+07
3.42585,5.56771e+07
2.33098,1.49687e+08
2.8551,1.38168e+08
2.85442,1.71777e+08
3.91608,1.6338e+08
3.21543,1.38092e+08
3.72138,7.54345e+07
3.01014,1.48319e+08
4.17667,1.01362e+08
2.63459,9.18271e+07
2.33237,1.02626e+08
2.45423,2.03813e+08
2.36701,1.30939e+08
3.08726,1.15596e+08
2.74109,1.22932e+08
3.46409,1.16283e+08
3.37016,1.37829e+08
2.34095,6.33003e+07
3.24874,1.12928e+08
2.28948,1.74978e+08
3.2336,1.57264e+08
2.3859,1.47751e+08
2.32184,5.72675e+07
2.35656,9.40611e+07
2.51964,8.70956e+07
2.32791,1.1833e+08
3.45286,1.24637e+08
3.01119,1.47305e+08
3.10614,1.42689e+08
3.52105,1.13945e+08
3.66737,1.98858e+08
4.58101,9.84342e+07
3.85927,1.42413e+08
3.95543,1.115e+08
2.33518,8.36897e+07
2.34289,1.20422e+08
3.4822,1.45569e+08
2.70311,1.25871e+08
2.31297,1.0783e+08
4.42857,6.89303e+07
3.16306,3.1028e+07
3.23145,1.40847e+08
3.33018,1.30442e+08
5.54538,7.2603e+07
2.76777,1.34002e+08
2.3121,1.7426e+08
2.35936,1.12868e+08
3.46083,1.37352e+07
3.27566,7.02463e+07
4.1585,6.27792e+07
2.8623,2.55545e+07
3.33875,1.33306e+08
2.60333,1.94406e+08
2.66399,1.34382e+08
2.98465,1.80488e+08
2.95814,1.40868e+08
2.32496,9.44703e+07
3.21659,9.67383e+07
2.35842,8.15109e+07
3.5707,9.43211e+07
2.54092,1.56371e+08
2.34126,1.45755e+08
3.35535,7.20374e+07
4.74792,6.72281e+07
2.83674,1.76585e+07
